#Wave     G         Gbp3      Grp3      Grvs
3200.0    0.000000  0.000000  0.000000  0.000000
3210.0    0.000000  0.000000  0.000000  0.000000
3220.0    0.000001  0.000000  0.000000  0.000000
3230.0    0.000005  0.000000  0.000000  0.000000
3240.0    0.000024  0.000000  0.000000  0.000000
3250.0    0.000104  0.000039  0.000000  0.000000
3260.0    0.000372  0.000176  0.000000  0.000000
3270.0    0.001094  0.000649  0.000000  0.000000
3280.0    0.002652  0.001967  0.000000  0.000000
3290.0    0.005451  0.005011  0.000000  0.000000
3300.0    0.009769  0.010946  0.000000  0.000000
3310.0    0.015628  0.020704  0.000000  0.000000
3320.0    0.022774  0.034697  0.000000  0.000000
3330.0    0.030761  0.052532  0.000000  0.000000
3340.0    0.039362  0.073539  0.000000  0.000000
3350.0    0.048105  0.096035  0.000000  0.000000
3360.0    0.056597  0.118776  0.000000  0.000000
3370.0    0.064865  0.142279  0.000000  0.000000
3380.0    0.072600  0.165558  0.000000  0.000000
3390.0    0.079980  0.188569  0.000000  0.000000
3400.0    0.086884  0.209777  0.000000  0.000000
3410.0    0.093489  0.228816  0.000000  0.000000
3420.0    0.099510  0.243877  0.000000  0.000000
3430.0    0.104821  0.251683  0.000000  0.000000
3440.0    0.109568  0.252028  0.000000  0.000000
3450.0    0.113845  0.246237  0.000000  0.000000
3460.0    0.117322  0.236607  0.000000  0.000000
3470.0    0.120248  0.224177  0.000000  0.000000
3480.0    0.122616  0.209228  0.000000  0.000000
3490.0    0.124481  0.194530  0.000000  0.000000
3500.0    0.125910  0.184649  0.000000  0.000000
3510.0    0.126874  0.179306  0.000000  0.000000
3520.0    0.127350  0.178271  0.000000  0.000000
3530.0    0.127444  0.181391  0.000000  0.000000
3540.0    0.127427  0.187816  0.000000  0.000000
3550.0    0.126992  0.196989  0.000000  0.000000
3560.0    0.126294  0.208369  0.000000  0.000000
3570.0    0.125246  0.218817  0.000000  0.000000
3580.0    0.124230  0.227393  0.000000  0.000000
3590.0    0.122848  0.232696  0.000000  0.000000
3600.0    0.121443  0.235262  0.000000  0.000000
3610.0    0.120078  0.235237  0.000000  0.000000
3620.0    0.118416  0.232622  0.000000  0.000000
3630.0    0.117082  0.230119  0.000000  0.000000
3640.0    0.115603  0.226963  0.000000  0.000000
3650.0    0.114320  0.223965  0.000000  0.000000
3660.0    0.113099  0.220852  0.000000  0.000000
3670.0    0.111837  0.217141  0.000000  0.000000
3680.0    0.110897  0.213344  0.000000  0.000000
3690.0    0.110138  0.209205  0.000000  0.000000
3700.0    0.109349  0.204352  0.000000  0.000000
3710.0    0.108993  0.199663  0.000000  0.000000
3720.0    0.108528  0.194048  0.000000  0.000000
3730.0    0.108230  0.188483  0.000000  0.000000
3740.0    0.108180  0.183208  0.000000  0.000000
3750.0    0.108451  0.178318  0.000000  0.000000
